car_name,length,width,height
Acura Integra 1986 5-door 1.6i, 435 cm or 171.26 inches , 166.5 cm or 65.55 inches , 134.5 cm or 52.95 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6 Auto, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 136.9 cm or 53.9 inches 
Acura Legend 1 Coupe 2.7i V6 Auto, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
Acura Legend 1 Coupe 2.7i V6 Auto, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
Acura Legend 1 Coupe 2.7i V6, 477.5 cm or 187.99 inches , 174.5 cm or 68.7 inches , 137 cm or 53.94 inches 
Acura Integra 1990 3-door 1.8i Auto, 439.2 cm or 172.91 inches , 171.4 cm or 67.48 inches , 127 cm or 50 inches 
Acura Integra 1990 3-door 1.8i, 439.2 cm or 172.91 inches , 171.4 cm or 67.48 inches , 127 cm or 50 inches 
Acura Integra 1990 3-door 1.7i VTEC GS-R (DB2), 439.2 cm or 172.91 inches , 171.4 cm or 67.48 inches , 127 cm or 50 inches 
Acura Integra 1990 3-door 1.8i Auto, 439.2 cm or 172.91 inches , 171.2 cm or 67.4 inches , 132.5 cm or 52.17 inches 
Acura Integra 1990 3-door 1.8i, 439.2 cm or 172.91 inches , 171.2 cm or 67.4 inches , 132.5 cm or 52.17 inches 
Acura Integra 1990 3-door 1.8i Auto, 439.2 cm or 172.91 inches , 171.2 cm or 67.4 inches , 132.5 cm or 52.17 inches 
Acura Integra 1990 3-door 1.8i, 439.2 cm or 172.91 inches , 171.2 cm or 67.4 inches , 132.5 cm or 52.17 inches 
Acura Integra 1990 4-door 1.8i Auto, 448.4 cm or 176.54 inches , 171.4 cm or 67.48 inches , 128.5 cm or 50.59 inches 
Acura Integra 1990 4-door 1.8i, 448.4 cm or 176.54 inches , 171.4 cm or 67.48 inches , 128.5 cm or 50.59 inches 
Acura Integra 1990 4-door 1.8i Auto, 448.4 cm or 176.54 inches , 171.2 cm or 67.4 inches , 134 cm or 52.76 inches 
